"K","accuracy"
1,0.370745864661654
2,0.305589473684211
3,0.206706015037594
4,0.198136090225564
5,0.209930827067669
6,0.203906766917293
7,0.203772180451128
8,0.204412030075188
9,0.202271428571429
10,0.19089022556391
